,0
2024-09-04,100107.65374795622
2024-09-05,100272.37309599097
2024-09-06,97610.87864749224
2024-09-09,98880.24804492951
2024-09-10,99264.42873210696
2024-09-11,100394.42183367169
2024-09-12,102077.56853472281
2024-09-13,102914.05949185399
2024-09-16,103936.47474493252
2024-09-17,104309.63526231778
2024-09-18,104526.16419035097
2024-09-19,104853.78975636067
2024-09-20,104521.07577833015
2024-09-23,105338.43343139214
2024-09-24,105431.08089685912
2024-09-25,104377.37349254831
2024-09-26,104461.16617672342
2024-09-27,105273.56997629399
2024-09-30,105346.53692457896
2024-10-01,104042.61013201074
2024-10-02,103661.69486171048
2024-10-03,102797.91119331008
2024-10-04,103448.80576287325
2024-10-07,102498.61130446826
2024-10-08,102911.90850267604
2024-10-09,103216.96942475539
2024-10-10,102922.99352285045
2024-10-11,103517.86721346104
2024-10-14,104026.67878383872
2024-10-15,103789.18205020044
2024-10-16,104550.71089348638
2024-10-17,103589.01708866675
2024-10-18,103939.8973772626
2024-10-21,103051.62498629777
2024-10-22,102329.03887344067
2024-10-23,101913.01248591335
2024-10-24,102288.81642471782
2024-10-25,102022.25489666601
2024-10-28,102676.20684005751
2024-10-29,101956.89600606597
2024-10-30,102171.89080034995
2024-10-31,101429.95855690783
2024-11-01,101655.01172692006
2024-11-04,102367.85505612474
2024-11-05,103552.96899751817
2024-11-06,103000.81901221532
2024-11-07,102693.99130611762
2024-11-08,102441.91739008714
2024-11-11,102278.064848189
2024-11-12,101546.90739543826
2024-11-13,102120.32846022837
2024-11-14,102224.0923691665
2024-11-15,101316.23979919945
2024-11-18,101977.98573649362
2024-11-19,101618.92777705209
2024-11-20,101807.50486416506
2024-11-21,103008.71977882896
2024-11-22,104173.1796127224
2024-11-25,105553.30488618839
2024-11-26,105146.06017900363
2024-11-27,105801.25468601112
2024-11-29,106030.14869119306
2024-12-02,106221.8458734911
2024-12-03,106131.07971351758
2024-12-04,106230.55002152374
2024-12-05,105759.47672660128
2024-12-06,105870.4799692536
2024-12-09,106713.19579668189
2024-12-10,105863.9461155177
2024-12-11,105759.09436561915
2024-12-12,104371.79621195704
2024-12-13,102891.91461014435
2024-12-16,101323.10826148473
2024-12-17,100392.89636279724
2024-12-18,97542.41968273949
2024-12-19,96271.37490859957
2024-12-20,98026.06638092568
